lambda,season_boost,log_loss
0.015,2.5,0.6325818919180954
0.015,2.0,0.633577321112384
0.02,2.5,0.6338981549619963
0.02,2.0,0.6347250434184892
0.015,1.5,0.6350801224729148
0.02,1.5,0.636386012789885
0.015,1.0,0.6379081622735343
0.02,1.0,0.639780545508111
0.03,2.5,0.6403325445509644
0.03,2.0,0.6412420932466727
0.03,1.5,0.6434095959560054
0.03,1.0,0.6483884788674649
0.04,2.5,0.6524405673900597
0.04,2.0,0.6538288685618989
0.04,1.5,0.6568577885918122
0.04,1.0,0.6638033970069327
0.05,2.5,0.6695030130429411
0.05,2.0,0.6718352997999026
0.05,1.5,0.6762836593798562
0.05,1.0,0.6856614861581389
