rank,team,team_power
1,DET,4.44137570203029
2,SEA,3.918231043979202
3,BUF,3.46579063814044
4,LA,2.201669883243784
5,GB,2.1177811875196655
6,BAL,1.8786518758759119
7,MIN,1.8166998936680836
8,HOU,1.7289372945967592
9,PHI,1.550361080791265
10,JAX,1.0739600012962025
11,DEN,0.8818736588232353
12,SF,0.7575340155452549
13,CHI,0.46843446348108453
14,IND,0.4013938419585127
15,LAC,0.24801088967663604
16,TB,0.1945983177949779
17,PIT,0.1056910160036469
18,MIA,-0.03292570120577093
19,KC,-0.15818081716609259
20,NE,-0.28232847420782187
21,DAL,-0.6179868508561606
22,CIN,-0.7204776413011349
23,NO,-1.2842833252442087
24,ARI,-1.3944488468913692
25,WAS,-1.8310071137346793
26,CAR,-2.4853992727626864
27,NYG,-2.5702049732910286
28,NYJ,-2.657559183048454
29,CLE,-2.7136796739567792
30,ATL,-3.093412009555026
31,LV,-3.431205072445032
32,TEN,-4.228964852917555
