team,global_week,team_strength
LA,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(2.19436229)
Coordinates:
    team_strength_dim_0  int64 8B 0"
BUF,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(3.40081745)
Coordinates:
    team_strength_dim_0  int64 8B 1"
ATL,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(-3.03965086)
Coordinates:
    team_strength_dim_0  int64 8B 2"
NO,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(-1.25882028)
Coordinates:
    team_strength_dim_0  int64 8B 3"
CAR,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(-2.43261203)
Coordinates:
    team_strength_dim_0  int64 8B 4"
CLE,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(-2.70854428)
Coordinates:
    team_strength_dim_0  int64 8B 5"
CHI,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(0.46420381)
Coordinates:
    team_strength_dim_0  int64 8B 6"
SF,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(0.79550492)
Coordinates:
    team_strength_dim_0  int64 8B 7"
CIN,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(-0.73593191)
Coordinates:
    team_strength_dim_0  int64 8B 8"
PIT,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(0.09671719)
Coordinates:
    team_strength_dim_0  int64 8B 9"
DET,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(4.39675573)
Coordinates:
    team_strength_dim_0  int64 8B 10"
PHI,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(1.54260623)
Coordinates:
    team_strength_dim_0  int64 8B 11"
HOU,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(1.68966268)
Coordinates:
    team_strength_dim_0  int64 8B 12"
IND,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(0.36729527)
Coordinates:
    team_strength_dim_0  int64 8B 13"
MIA,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(-0.05049743)
Coordinates:
    team_strength_dim_0  int64 8B 14"
NE,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(-0.28146677)
Coordinates:
    team_strength_dim_0  int64 8B 15"
NYJ,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(-2.66550597)
Coordinates:
    team_strength_dim_0  int64 8B 16"
BAL,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(1.84231331)
Coordinates:
    team_strength_dim_0  int64 8B 17"
WAS,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(-1.78584697)
Coordinates:
    team_strength_dim_0  int64 8B 18"
JAX,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(1.05912374)
Coordinates:
    team_strength_dim_0  int64 8B 19"
ARI,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(-1.38594894)
Coordinates:
    team_strength_dim_0  int64 8B 20"
KC,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(-0.14387955)
Coordinates:
    team_strength_dim_0  int64 8B 21"
LAC,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(0.28002768)
Coordinates:
    team_strength_dim_0  int64 8B 22"
LV,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(-3.40351389)
Coordinates:
    team_strength_dim_0  int64 8B 23"
MIN,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(1.79878999)
Coordinates:
    team_strength_dim_0  int64 8B 24"
GB,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(2.09692875)
Coordinates:
    team_strength_dim_0  int64 8B 25"
TEN,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(-4.19327343)
Coordinates:
    team_strength_dim_0  int64 8B 26"
NYG,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(-2.55838847)
Coordinates:
    team_strength_dim_0  int64 8B 27"
DAL,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(-0.63482729)
Coordinates:
    team_strength_dim_0  int64 8B 28"
TB,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(0.2276945)
Coordinates:
    team_strength_dim_0  int64 8B 29"
SEA,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(3.89198717)
Coordinates:
    team_strength_dim_0  int64 8B 30"
DEN,69,"<xarray.DataArray 'team_strength' ()> Size: 8B
array(0.85129927)
Coordinates:
    team_strength_dim_0  int64 8B 31"
